"x","y","Cu","grad","elev","Nmin","P","pH","solar","twi","label","vol","int"
11.7,151.1,-0.66143293433821,0.0340661185149648,138.32,-11.5565376089848,-0.729975863257968,-0.265211565932712,24.806300182257,0.242643219545835,1,7.39644970414201,1
998.9,430.5,1.41856706566179,0.202519918514965,129.64,18.1734623910152,-1.82997586325797,0.294788434067287,-132.093699817743,-1.35735678045417,1,14.792899408284,1
980.1,433.5,1.07856706566179,0.140624818514965,135.69,18.7234623910152,-1.69997586325797,0.294788434067287,-120.293699817743,-2.55735678045417,1,14.792899408284,1
986.5,425.8,1.43856706566179,0.159590618514965,135.86,18.2634623910152,-1.91997586325797,0.284788434067288,-115.893699817743,-3.75735678045417,1,14.792899408284,1
944.1,415.1,1.15856706566179,0.00313301851496478,139.53,21.7634623910152,-1.26997586325797,0.414788434067288,-9.49369981774271,-1.05735678045417,1,14.792899408284,1
940.5,410.4,1.26856706566179,0.00933501851496478,139.87,22.7434623910152,-1.29997586325797,0.424788434067287,-6.69369981774298,-1.15735678045417,1,14.792899408284,1
950.9,405.7,1.46856706566179,0.0448262185149648,139.24,21.8634623910152,-1.79997586325797,0.394788434067287,2.50630018225729,-0.757356780454165,1,9.86193293885602,1
940.8,389.2,1.95856706566179,0.0567556185149648,140.02,25.6234623910152,-2.11997586325797,0.394788434067287,-13.4936998177427,-1.45735678045417,1,9.86193293885602,1
945.5,379.8,2.57856706566179,0.105033418514965,138.82,25.3734623910152,-2.34997586325797,0.354788434067287,-72.9936998177427,-2.95735678045417,1,14.792899408284,1
930.5,287.1,4.37856706566179,0.0637870185149648,133.82,23.9034623910152,-1.53997586325797,0.254788434067287,-44.7936998177429,-0.657356780454165,1,14.792899408284,1
931.2,372.6,2.52856706566179,0.0451010185149648,140.68,29.2334623910152,-2.38997586325797,0.384788434067287,9.30630018225702,0.342643219545835,1,14.792899408284,1
924.2,427.8,1.31856706566179,0.0342272185149648,142.84,22.8734623910152,-0.0599758632579679,0.424788434067287,25.1063001822572,-2.75735678045417,1,14.792899408284,1
936.4,453,0.90856706566179,0.0154487285149648,137.06,20.1234623910152,-0.849975863257968,0.364788434067288,7.80630018225702,-1.05735678045417,1,14.792899408284,1
918.3,445.4,1.37856706566179,0.0325547185149648,139.53,21.5434623910152,-0.379975863257968,0.394788434067287,-231.693699817743,-2.35735678045417,1,14.792899408284,1
915.3,409.8,1.55856706566179,0.00539013851496478,142.54,25.5534623910152,-0.759975863257968,0.414788434067288,-3.19369981774298,-2.15735678045417,1,14.792899408284,1
907.4,362.9,2.92856706566179,0.0464942185149648,141.12,27.5834623910152,-2.27997586325797,0.414788434067288,8.80630018225702,-0.657356780454165,1,14.792899408284,1
903.8,376.7,2.47856706566179,0.0487306185149648,141.67,28.2534623910152,-2.19997586325797,0.424788434067287,9.20630018225711,-1.15735678045417,1,14.792899408284,1
912,357.1,3.44856706566179,0.0328549185149648,140.67,26.6034623910152,-2.26997586325797,0.394788434067287,8.50630018225729,-0.257356780454165,1,14.792899408284,1
892.8,109.5,4.04856706566179,0.00808051851496477,132.08,14.8134623910152,-1.80997586325797,-0.0152115659327121,10.4063001822569,0.342643219545835,1,14.792899408284,1
899,332.7,4.16856706566179,0.0480813185149648,140.95,22.5234623910152,-1.79997586325797,0.364788434067288,0.406300182256928,-0.157356780454165,1,14.792899408284,1
884,323,4.12856706566179,0.0672290185149648,141.99,19.7834623910152,-1.19997586325797,0.364788434067288,-2.19369981774298,0.142643219545834,1,9.86193293885602,1
890.5,486.2,2.62856706566179,0.0616017185149648,141.05,16.6534623910152,-1.73997586325797,0.474788434067287,-63.2936998177429,-0.557356780454166,1,14.792899408284,1
873.2,457.3,2.31856706566179,0.0549798185149648,142.74,20.6434623910152,-0.929975863257968,0.374788434067288,-18.4936998177427,0.842643219545835,1,9.86193293885602,1
871.6,435.4,1.36856706566179,0.133008018514965,144.27,24.3934623910152,-0.0899758632579677,0.234788434067288,-188.893699817743,-2.55735678045417,1,14.792899408284,1
863.9,427.1,0.78856706566179,0.149558418514965,148.19,25.7634623910152,0.140024136742032,0.204788434067288,-166.293699817743,-2.85735678045417,1,9.86193293885602,1
864.2,433.8,1.08856706566179,0.145713718514965,146.49,24.3234623910152,0.0900241367420325,0.244788434067288,-191.293699817743,-2.95735678045417,1,9.86193293885602,1
861.3,374,1.85856706566179,0.0628949185149648,150.68,25.9034623910152,-1.56997586325797,0.364788434067288,6.90630018225693,-2.65735678045417,1,14.792899408284,1
